"Authors","Author full names","Author(s) ID",Title,"Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract",Keywords,"Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Yamashita M.; Utsunomiya H.; Fujita S.","Yamashita, Masaho (36697528800); Utsunomiya, Hiroyuki (36697287600); Fujita, Shigeru (35420085100)","36697528800; 36697287600; 35420085100","User awareness detection in the room with multiple sensor device","2010","Proceedings - 13th International Conference on Network-Based Information Systems, NBiS 2010","","","5636195","420","423","3","2","10.1109/NBiS.2010.98","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650473136&doi=10.1109%2fNBiS.2010.98&partnerID=40&md5=f62f85a3be39e8d9321c9a2893683408","It is difficult to get awareness of user's context from sensors such kind of video cameras, RFID-Tags, GPS, PC-monitoring and another ubiquitous devices. On the other hand, it is difficult to understanding what information is got in computers for user. We are in the network-age since 1995. We use PC, smart phone, iPad and other digital gadget which are connected to the Internet every time anywhere. For keeping safety, there are many monitoring video cameras in public and private space. Of course, the privacy policy is kept ones privacy. On the other hand, we are in defragmented by the Network. We use many communication tools to contact business person, family, friend and another person. Theses communication tools are e-mail, twitter, blog, messenger, SNS and another communication tools in the Internet. We can not feel the person's awareness in real time with such kind of digital communication tools. This kind of communication gap makes loneliness of home worker. In this paper, we show the concept of the sharing users' awareness between fragmented people on the Internet and show how to get user awareness from multiple sensor devices. © 2010 IEEE.","Awareness; Cyber space; Metaverse; Symbiotic computing; Ubiquitous system. multi-agent system; Virtual realty","","English","Conference paper","Final","","Scopus","2-s2.0-78650473136"
"Ding P.; Liu J.; Sun M.; Li L.; Liu H.","Ding, Pengyong (58184511000); Liu, Jiarong (58637918100); Sun, Min (58184236000); Li, Li (58183665400); Liu, Hong (58440626200)","58184511000; 58637918100; 58184236000; 58183665400; 58440626200","Enhancing Computational Processing Performance for Generative AI Large Models with Autonomous Decision-Making in Metaverse Applications","2024","Proceedings - 2024 IEEE International Conference on Metaverse Computing, Networking, and Applications, MetaCom 2024","","","","253","258","5","1","10.1109/MetaCom62920.2024.00048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211489063&doi=10.1109%2fMetaCom62920.2024.00048&partnerID=40&md5=ae085a7d90b12c9090f5bf7a274bc7ce","We explore how to enhance the computational processing performance for generative AI large models with autonomous decision-making in metaverse applications. We first introduce the relationship between AI large models and the Metaverse. We elaborate on the application scenarios of generative AI large models in Metaverse, including real-time weather simulation, embodied intelligence of agents, dynamic environment interaction, and user emotion recognition. We then propose the method of Multi-Dimensional Optimization Generation Framework (MDOGF) to improve computational processing performance. The experiment results show great improvement in computational processing performance. © 2024 IEEE.","AGI (Artificial General Intelligence); Autonomous Decision-Making; Digital Twin Technology; Generative AI Large Models; Metaverse; Model Acceleration; Model Compression; Multi-Agent Systems; Multi-Modal Data Integration; Reinforcement Learning","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85211489063"
"Mao B.; Zhou X.; Liu J.; Kato N.","Mao, Bomin (57192679807); Zhou, Xueming (58340513600); Liu, Jiajia (40461843700); Kato, Nei (7403474407)","57192679807; 58340513600; 40461843700; 7403474407","On a Cooperative Deep Reinforcement Learning-Based Multi-Objective Routing Strategy for Diversified 6G Metaverse Services","2024","IEEE Transactions on Vehicular Technology","73","9","","14092","14096","4","7","10.1109/TVT.2024.3397707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192726785&doi=10.1109%2fTVT.2024.3397707&partnerID=40&md5=27a3b5e7b61c0f9d68e7b07616ff1160","Metaverse has been widely recognized as an important 6G application with increasingly stringent, detailed, and diversified requirements for multiple Quality of Service (QoS) metrics. However, traditional routing strategies are usually based on unified weights and select the paths independently, which neglects the service diversity and resource constraints. In this paper, we focus on the diversified metaverse service requirements and propose the Deep Reinforcement Learning (DRL) based multiple objective routing strategy for different services. Multiple agents in the DRL model cooperatively select the paths to improve the resource utilization efficiency. Simulation results illustrate that our proposal outperforms traditional strategies.  © 2024 IEEE.","6G metaverse services; cooperative deep reinforcement learning; diversified QoS requirements; multi-objective routing","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85192726785"
"Long Z.; Wang H.; Dong H.; El Saddik A.","Long, Zijian (57218823159); Wang, Haopeng (59074646700); Dong, Haiwei (59676670700); El Saddik, Abdulmotaleb (35431360000)","57218823159; 59074646700; 59676670700; 35431360000","Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning","2025","IEEE Transactions on Computational Social Systems","","","","","","","0","10.1109/TCSS.2025.3555419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002559480&doi=10.1109%2fTCSS.2025.3555419&partnerID=40&md5=b84becbea097d5e714a2bbfa6218e8ba","The social metaverse is a growing digital ecosystem that blends virtual and physical worlds. It allows users to interact socially, work, shop, and enjoy entertainment. However, privacy remains a major challenge, as immersive interactions require continuous collection of biometric and behavioral data. At the same time, ensuring high-quality, low-latency streaming is difficult due to the demands of real-time interaction, immersive rendering, and bandwidth optimization. To address these issues, we propose adaptive social metaverse streaming (ASMS), a novel streaming system based on federated multiagent proximal policy optimization (F-MAPPO). ASMS leverages F-MAPPO, which integrates federated learning (FL) and deep reinforcement learning (DRL) to dynamically adjust streaming bit rates while preserving user privacy. Experimental results show that ASMS improves user experience by at least 14% compared to existing streaming methods across various network conditions. Therefore, ASMS enhances the social metaverse experience by providing seamless and immersive streaming, even in dynamic and resource-constrained networks, while ensuring that sensitive user data remain on local devices.  © 2014 IEEE.","Adaptive bit rate (ABR) streaming; extended reality (XR); federated learning (FL); multiagent reinforcement learning; social metaverse","Institute of Electrical and Electronics Engineers Inc.","English","Article","Article in press","","Scopus","2-s2.0-105002559480"
"","","","2024 33rd International Symposium on Industrial Electronics, ISIE 2024 - Proceedings","2024","IEEE International Symposium on Industrial Electronics","","","","","","588","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199669658&partnerID=40&md5=179e792ed855ae70b6c2c3597fad5065","The proceedings contain 158 papers. The topics discussed include: simulation on digital twin: role of artificial intelligence and emergence of industrial metaverse; a custom developed flexible tool for real-time distribution grid visualization; group spatial attention for 3D human pose estimation; variable frequency control strategy for transformers surge current reduction in DAB converters; enhancing traceability in flexible production system: a blockchain-powered approach in IEC 61499 multi-agent control system; enhancing robot teleoperation in remote automation production through an event-triggered control strategy; optimal multi-target navigation via graph-based algorithms in complex environments; control set reduction for PMSM predictive controller via assisted learning algorithm; and lightweight CPU-based face detection with efficient feature selector in real-time applications.","","Institute of Electrical and Electronics Engineers Inc.","English","Conference review","Final","","Scopus","2-s2.0-85199669658"
"Yu W.; Chua T.J.; Zhao J.","Yu, Wenhan (57913845600); Chua, Terence Jie (57913208800); Zhao, Jun (56698967300)","57913845600; 57913208800; 56698967300","Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications","2023","IEEE Journal on Selected Areas in Communications","41","7","","2138","2157","19","19","10.1109/JSAC.2023.3280988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153893825&doi=10.1109%2fJSAC.2023.3280988&partnerID=40&md5=70d0783c84764310c17ef95e1a26873b","Technology advancements in wireless communications and high-performance Extended Reality (XR) have empowered the developments of the Metaverse. The demand for the Metaverse applications and hence, real-time digital twinning of real-world scenes is increasing. Nevertheless, the replication of 2D physical world images into 3D virtual objects is computationally intensive and requires computation offloading. The disparity in transmitted object dimension (2D as opposed to 3D) leads to asymmetric data sizes in uplink (UL) and downlink (DL). To ensure the reliability and low latency of the system, we consider an asynchronous joint UL-DL scenario where in the UL stage, the smaller data size of the physical world images captured by multiple extended reality users (XUs) will be uploaded to the Metaverse Console (MC) to be construed and rendered. In the DL stage, the larger-size 3D virtual objects need to be transmitted back to the XUs. We design a novel multi-agent reinforcement learning algorithm structure, namely Asynchronous Actors Hybrid Critic (AAHC), to optimize the decisions pertaining to computation offloading and channel assignment in the UL stage and optimize the DL transmission power in the DL stage. Extensive experiments demonstrate that compared to proposed baselines, AAHC obtains better solutions with satisfactory training time.  © 1983-2012 IEEE.","Metaverse; Reinforcement learning; resource allocation; ultra-reliable low-latency communication; wireless communications","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85153893825"
"","","","3rd International Conference on Human and Artificial Rationalities, HAR 2024","2025","Lecture Notes in Computer Science","15504 LNCS","","","","","410","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002016684&partnerID=40&md5=3770f210f34ba11ccc0dab945f5cbf33","The proceedings contain 24 papers. The special focus in this conference is on Human and Artificial Rationalities. The topics include: Data Science and Environmental Sustainability: Mastering the Information and Knowledge; multi-agent Simulation of Violence Emergence in Protests; the Social Exchange Heuristic Operation During a One-Shot Prisoner’s Dilemma Game; development of Intention-Based Moral Judgement in Children and Adolescents with and Without Intellectual Disability; artificialization of Intelligence and Embodied Cognition; Consciousness in AI: A Return to Fetishism or Technological Progress?; agent Rationality Under Partially Resolving Uncertainty and the Hurwicz Criterion; expressing Rational Agency Through Pragmatic Meta-vocabularies; the Effect of Initial Letters in Word Recognition: A Phonological or Positional Effect ?; coherence as Logical Consistency; degrees of Intuition: Coherence in the New Dual Process Theory; a Tribute to Kahneman and Tversky in the Context of Mathematics Education; effect of Brief Mindfulness Training on Cognitive Rigidity; research Trends in Information Accessibility to Web Content for Adults with Developmental Disabilities: A Literature Review; NAO Robot to Help People with Alzheimer's Manage the Recall of Activities in Prospective Memory; Does Replacing the Experimenter with an Ignorant Student Robot Improve the Success of Children with ASD in the False Belief Task?; enhancing Pharmacology Education: Investigating the Efficacy of Serious Game-Based Learning Through Virtual Simulation; video-Based Analysis of the Mechanical Design Process in a Student Dyadic Activity; critical Thinking and Psychorhetoric for Promoting Environmental Awareness; the Effect of Screens on Children’s Development: Concrete Action Taken in Schools, Closer to Families; can We Really Learn in the Metaverse? A Discussion on Learning Through Immersive Technology; emotion-Enhanced Pain Assessment Protocol.","","Springer Science and Business Media Deutschland GmbH","English","Conference review","Final","","Scopus","2-s2.0-105002016684"
"Bose A.; Nori J.L.; Bai L.","Bose, Anway (57215562231); Nori, John L. (58657632200); Bai, Li (55521756900)","57215562231; 58657632200; 55521756900","Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme","2023","Proceedings - 2023 IEEE International Conference on Metaverse Computing, Networking and Applications, MetaCom 2023","","","","226","233","7","0","10.1109/MetaCom57706.2023.00050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174639030&doi=10.1109%2fMetaCom57706.2023.00050&partnerID=40&md5=e216c1b98a86643d7bcf74dcce2b28d3","In this paper, we present a secure communication protocol based on a balanced Tree-based Group Diffie-Hellman (TGDH) key management solution for secure distributed computing in metaverse. The novelty of this work is that our modified TGDH algorithm balances the tree while preserving the distributed, secure architecture of group re-keying. The balanced tree ensures optimized computation regardless of join or leave events. This paper also presents a portable Python application programming interface (API) for the implementation of this secured group key management algorithm. This API addresses a lack of existing open-source implementations of TGDH, specifically in distributed-system architecture. From cloud based data sharing to distributed multi-agent frameworks and any secured computation application in metaverse, our algorithm can be easily and efficiently ported to any OS and used to secure group communications. © 2023 IEEE.","group key agreement implementation; secure computing in metaverse; secure group communication; secure multi-agent systems; security in distributed computing; TGDH","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85174639030"
"Zheleva A.; Hardeman J.; Durnez W.; Vanroelen C.; De Bruyne J.; Tutu D.O.; Morton J.; Joundi J.; Saldien J.; Bombeke K.","Zheleva, Aleksandra (57217857323); Hardeman, Julie (58653803300); Durnez, Wouter (55743705400); Vanroelen, Charlotte (58653891400); De Bruyne, Jonas (57226611325); Tutu, Dennis Osei (58653623100); Morton, Jessica (57225838886); Joundi, Jamil (57205079702); Saldien, Jelle (27868010800); Bombeke, Klaas (55567481800)","57217857323; 58653803300; 55743705400; 58653891400; 57226611325; 58653623100; 57225838886; 57205079702; 27868010800; 55567481800","The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type","2023","Heliyon","9","10","e20165","","","","3","10.1016/j.heliyon.2023.e20165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174395861&doi=10.1016%2fj.heliyon.2023.e20165&partnerID=40&md5=2898c7ce0380a852ba97bc540ab31269","The introduction of the Metaverse and the rise of social virtual reality platforms such as VRChat has led to increased communication and collaboration in virtual reality. As interactions in social virtual reality take place through avatars, the behaviour, and in particular the eye gaze of an avatar can have an impact on the user experience. However, it is still unclear which features of the user experience are most influenced. Therefore, this study used data from 44 female participants to investigate how avatar gaze behaviour (static eyes vs. real-time tracked eyes) affects their perceived quality of communication and the amount of one-sided eye contact participants make during a communicative or collaborative task in virtual reality. In addition, the study investigated the mediating role of perceived avatar “uncanniness” (i.e., the finding that humanoid objects that imperfectly resemble real people evoke feelings of discomfort) in this relationship and the moderation effect of two multi-user scenarios (collaboration vs. communication). The results showed that uncanniness directly affected the perceived quality of communication. However, it did not significantly mediate the relationship between avatar eye gaze behaviour and the quality of communication or the amount of one-sided eye contact. Finally, there were no significant differences in user experience between the two scenarios. From this, we can conclude that the uncanniness of an avatar being interacted with in VR is not enough to hinder communication and collaboration in an immersive medium. And even if an avatar is perceived as uncanny, normative communication cues such as eye contact are still present. Notably, due to sample availability, the results of this study are based on a female-only sample. Thus, future research can benefit from exploring the outlined effects in a more gender-balanced sample. © 2023 The Author(s)","Avatar uncanniness; Collaboration; Communication; Eye tracking; Moderated mediation analysis; Multi-agent; Virtual reality","Elsevier Ltd","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174395861"
"Yu W.; Jie T.C.; Zhao J.","Yu, Wenhan (57913845600); Jie, Terence Chua (57913208800); Zhao, Jun (56698967300)","57913845600; 57913208800; 56698967300","Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse","2023","IEEE INFOCOM 2023 - Conference on Computer Communications Workshops, INFOCOM WKSHPS 2023","","","","","","","5","10.1109/INFOCOMWKSHPS57453.2023.10225766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164545616&doi=10.1109%2fINFOCOMWKSHPS57453.2023.10225766&partnerID=40&md5=4daff69c4c75feedbccf2ed3bd7797d0","Technology advancements in wireless communications and high-performance Extended Reality (XR) have empowered the developments of the Metaverse. The demand for Metaverse applications and hence, real-time digital twinning of real-world scenes is increasing. Nevertheless, the replication of 2D physical world images into 3D virtual world scenes is computationally intensive and requires computation offloading. The disparity in transmitted scene dimension (2D as opposed to 3D) leads to asymmetric data sizes in uplink (UL) and downlink (DL). To ensure the reliability and low latency of the system, we consider an asynchronous joint UL-DL scenario where the smaller data size of the physical world scenes captured in the UL will be uploaded to the Metaverse Console (MC) to be construed and rendered, and the larger-size 3D virtual world scenes need to be transmitted back in DL. The decisions pertaining to computation offloading and channel assignment are optimized in the UL stage, and the MC will optimize power allocation for users assigned with a channel in the UL transmission stage. To ensure the reliability and low latency of the system, we design a novel Multi-agent Deep Reinforcement Learning (MADRL) structure, namely Asynchronous Actors Hybrid Critic (AAHC). The simulation experiments demonstrate that compared to the proposed baselines, AAHC obtains better solutions with a preferable training time.  © 2023 IEEE.","latency; Metaverse; Reinforcement learning; reliability; resource allocation; wireless communications","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85164545616"
"Sirimorok N.; Paweroi R.M.; Arsyad A.A.; Köppen M.","Sirimorok, Nurdiansyah (57218700595); Paweroi, Rio Mukhtarom (57226609092); Arsyad, Andi Arniaty (57216413469); Köppen, Mario (36942759200)","57218700595; 57226609092; 57216413469; 36942759200","Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network","2023","Sensors (Basel, Switzerland)","23","21","","","","","3","10.3390/s23218689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176889058&doi=10.3390%2fs23218689&partnerID=40&md5=6d5881ccff2ef5e9ad501bf710089174","In today's world, merging sensor-based security systems with contemporary principles has become crucial. As we witness the ever-growing number of interconnected devices in the Internet of Things (IoT), it is imperative to have robust and trustworthy security measures in place. In this paper, we examine the idea of virtualizing the communication infrastructure for smart farming in the context of IoT. Our approach utilizes a metaverse-based framework that mimics natural processes such as mycelium network growth communication with a security-concept-based srtificial immune system (AIS) and transaction models of a multi-agent system (MAS). The mycelium, a bridge that transfers nutrients from one plant to another, is an underground network (IoT below ground) that can interconnect multiple plants. Our objective is to study and simulate the mycelium's behavior, which serves as an underground IoT, and we anticipate that the simulation results, supported by diverse aspects, can be a reference for future IoT network development. A proof of concept is presented, demonstrating the capabilities of such a virtualized network for dedicated sensor communication and easy reconfiguration for various needs.","artificial immune system; Internet-of-Things; metaverse; multi-agent system; mycelium; sensor network; smart farming","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85176889058"
"Kwon J.; Ryu J.; Lee J.H.; Joung J.","Kwon, Juhyeok (57222568263); Ryu, Jihye (57222324019); Lee, Jee Hang (55619280500); Joung, Jinoo (14045404300)","57222568263; 57222324019; 55619280500; 14045404300","Improving End-To-End Latency Fairness Using a Reinforcement-Learning-Based Network Scheduler","2023","Applied Sciences (Switzerland)","13","6","3397","","","","0","10.3390/app13063397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151555628&doi=10.3390%2fapp13063397&partnerID=40&md5=ec93c849b8c8fc4c13d3ff1c5bc4bf11","In services such as metaverse, which should provide a constant quality of service (QoS) regardless of the user’s physical location, the end-to-end (E2E) latency must be fairly distributed over any flow in the network. To this end, we propose a reinforcement learning (RL)-based scheduler for minimizing the maximum network E2E latency. The RL model used the double deep Q-network (DDQN) with the prioritized experience replay (PER). In order to see the performance change according to the type of RL agent, we implemented a single-agent environment where the controller is an agent and a multi-agent environment where each node is an agent. Since the agents were unable to identify E2E latencies in the multi-agent environment, the state and reward were formulated using the estimated E2E latencies. To precisely evaluate the RL-based scheduler, we set out benchmark algorithms to compare with which a network-arrival-time-based heuristic algorithm (NAT-HA) and a maximum-estimated-delay-based heuristic algorithm (MED-HA). The RL-based scheduler, first-in-first-out (FIFO), round-robin (RR), NAT-HA, and MED-HA were compared through large-scale simulations on four network topologies. The simulation results in fixed-packet generation scenarios showed that our proposal, the RL-based scheduler, achieved the minimization of maximum E2E latency in all the topologies. In other scenarios with random flow generation, the RL-based scheduler and MED-HA showed the lowest maximum E2E latency for all topologies. Depending on the topology, the maximum E2E latency of NAT-HA was equal to or larger than that of the RL-based scheduler. In terms of fairness, the RL-based scheduler showed a higher level of fairness than that of FIFO and RR. NAT-HA had similar or lower fairness than the RL-based scheduler depending on the topology, and MED-HA had the same level of fairness as the RL-based scheduler. © 2023 by the authors.","double-deep Q-learning; end-to-end latency; fairness; min-max criterion; prioritized experience replay; reinforcement learning","MDPI","English","Article","Final","","Scopus","2-s2.0-85151555628"
"Chen J.; Kang J.; Xu M.; Xiong Z.; Niyato D.; Chen C.; Jamalipour A.; Xie S.","Chen, Junlong (58114654500); Kang, Jiawen (55960988400); Xu, Minrui (57221948855); Xiong, Zehui (57201881045); Niyato, Dusit (8919714700); Chen, Chuan (56442806000); Jamalipour, Abbas (7003564684); Xie, Shengli (7401936935)","58114654500; 55960988400; 57221948855; 57201881045; 8919714700; 56442806000; 7003564684; 7401936935","Multiagent Deep Reinforcement Learning for Dynamic Avatar Migration in AIoT-Enabled Vehicular Metaverses With Trajectory Prediction","2024","IEEE Internet of Things Journal","11","1","","70","83","13","26","10.1109/JIOT.2023.3296075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165285021&doi=10.1109%2fJIOT.2023.3296075&partnerID=40&md5=cb508b31451b94bf0058058b7b0d5030","Avatars, as promising digital assistants in Vehicular Metaverses, can enable drivers and passengers to immerse in 3-D virtual spaces, serving as a practical emerging example of Artificial Intelligence of Things (AIoT) in intelligent vehicular environments. The immersive experience is achieved through seamless human-avatar interaction, e.g., augmented reality navigation, which requires intensive resources that are inefficient and impractical to process on intelligent vehicles locally. Fortunately, offloading avatar tasks to roadside units (RSUs) or cloud servers for remote execution can effectively reduce resource consumption. However, the high mobility of vehicles, the dynamic workload of RSUs, and the heterogeneity of RSUs pose novel challenges to making avatar migration decisions. To address these challenges, in this article, we propose a dynamic migration framework for avatar tasks based on real-time trajectory prediction and multiagent deep reinforcement learning (MADRL). Specifically, we propose a model to predict the future trajectories of intelligent vehicles based on their historical data, indicating the future workloads of RSUs. Based on the expected workloads of RSUs, we formulate the avatar task migration problem as a long-term mixed-integer programming problem. To tackle this problem efficiently, the problem is transformed into a partially observable Markov decision process (POMDP) and solved by multiple DRL agents with hybrid continuous and discrete actions in decentralized. Numerical results demonstrate that our proposed algorithm can effectively reduce the latency of executing avatar tasks by around 25% without prediction and 30% with prediction and enhance user immersive experiences in the AIoT-enabled Vehicular Metaverse (AeVeM).  © 2023 IEEE.","Artificial Intelligence of Things (AIoT); avatar; Metaverses; multiagent deep reinforcement learning (MADRL); service migration; trajectory prediction","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85165285021"
"Li J.; Yang B.; Yu T.","Li, Jiawen (57196165823); Yang, Bo (56701400000); Yu, Tao (56454665900)","57196165823; 56701400000; 56454665900","Distributed deep reinforcement learning-based coordination performance optimization method for proton exchange membrane fuel cell system","2022","Sustainable Energy Technologies and Assessments","50","","101814","","","","11","10.1016/j.seta.2021.101814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120637043&doi=10.1016%2fj.seta.2021.101814&partnerID=40&md5=47a0962d97994ffdadf7dafac690e4d7","A proton exchange membrane fuel cell (PEMFC) is a multi-input multi-output nonlinear complicated system, the output power and operating efficiency of which are affected by various operating variables. To achieve coordinated control of multiple operating variables and thus improve the stability, performance, and efficiency of the PEMFC power system, a data-driven power coordination management method is proposed. Furthermore, a metaverse-based multiagent double delay deep deterministic policy gradient (MET-MADDPG) algorithm is also presented. The design of this algorithm is structured on the concept of the metaverse in that it employs different metaverses during pre-learning and combines imitation learning and curriculum learning to enable agents in different combinations to be fully trained in different environments to improve coordination strategy robustness. In this algorithm, the hydrogen controller, air controller, water pump controller and radiator controller are regarded as four agents; the objective of the training is to enable agents with their different goals to coordinate. The effectiveness of the proposed algorithm is demonstrated in a series of experiments in which it is compared with existing algorithms. © 2021 Elsevier Ltd","Distributed deep reinforcement learning; Metaverse; Metaverse-based multi-agent double delay deep deterministic policy gradient algorithm; Power coordination management method; Proton exchange membrane fuel cell (PEMFC)","Elsevier Ltd","English","Article","Final","","Scopus","2-s2.0-85120637043"
"Long Z.; Dong H.; Saddik A.E.","Long, Zijian (57218823159); Dong, Haiwei (35104666100); Saddik, Abdulmotaleb El (57221837385)","57218823159; 35104666100; 57221837385","Human-Centric Resource Allocation for the Metaverse With Multiaccess Edge Computing","2023","IEEE Internet of Things Journal","10","22","","19993","20005","12","16","10.1109/JIOT.2023.3283335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161559304&doi=10.1109%2fJIOT.2023.3283335&partnerID=40&md5=a80821d7881bb93f58776605298b4cbb","Multiaccess edge computing (MEC) is a promising solution to the computation-intensive, low-latency rendering tasks of the metaverse. However, how to optimally allocate limited communication and computation resources at the edge to a large number of users in the metaverse is quite challenging. In this article, we propose an adaptive edge resource allocation method based on multiagent soft actor-critic with graph convolutional networks (SAC-GCN). Specifically, SAC-GCN models the multiuser metaverse environment as a graph where each agent is denoted by a node. Each agent learns the interplay between agents by graph convolutional networks with a self-attention mechanism to further determine the resource usage for one user in the metaverse. The effectiveness of SAC-GCN is demonstrated through the analysis of user experience, balance of resource allocation, and resource utilization rate by taking a virtual city park metaverse as an example. Experimental results indicate that SAC-GCN outperforms other resource allocation methods in improving overall user experience, balancing resource allocation, and increasing resource utilization rate by at least 27%, 11%, and 8%, respectively.  © 2023 IEEE.","Attention mechanism; extended reality (XR); graph convolutional network; multiagent reinforcement learning","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85161559304"
"Park S.; Chung J.; Park C.; Jung S.; Choi M.; Cho S.; Kim J.","Park, Soohyun (57210251609); Chung, Jaehyun (58662433600); Park, Chanyoung (57933826700); Jung, Soyi (57195474107); Choi, Minseok (57197868489); Cho, Sungrae (55542045700); Kim, Joongheon (8866990900)","57210251609; 58662433600; 57933826700; 57195474107; 57197868489; 55542045700; 8866990900","Joint Quantum Reinforcement Learning and Stabilized Control for Spatio-Temporal Coordination in Metaverse","2024","IEEE Transactions on Mobile Computing","23","12","","12410","12427","17","13","10.1109/TMC.2024.3407883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194817407&doi=10.1109%2fTMC.2024.3407883&partnerID=40&md5=84c8b03d91cc3b89b36dfff6a71d64b4","In order to build realistic metaverse systems, enabling high synchronization between physical-space and virtual meta-space is essentially required. For this purpose, this paper proposes a novel system-wide coordination algorithm for high synchronization under characteristics (i.e., highly realistic meta-space construction under the constraints of physical-space). The proposed algorithm consists of the following three stages. The first stage is quantum multi-agent reinforcement learning (QMARL)-based scheduling for low-delay temporal-synchronization using differentiated age-of-information (AoI) during data gathering in physical-space by observers for meta-space construction. This is beneficial for scalability according to action dimension reduction in reinforcement learning computation. The second stage is for creating virtual contents under delay constraints in meta-space based on the gathered data. When rendering regions that have received more user attention, avatar-popularity is considered for spatio-synchronization. Thus, a stabilized control mechanism is designed for time-average reality quality maximization for each region. The last stage is for caching based on avatar-popularity and AoI which can be helpful in constructing low-delay realistic meta-space. Furthermore, the concept of AoI is divided into two separate sub-concepts of physical AoI and virtual AoI such that the AoI in virtual meta-space can be thoroughly implemented.  © 2024 IEEE.","Age-of-Information; metaverse; quantum reinforcement learning; synchronization","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85194817407"
"Yu Z.","Yu, Zekai (59653529200)","59653529200","Beyond the Operating Room: Expanding the Surgical Metaverse Through Collaboration, Regulation, and Patient Empowerment; [Más allá del quirófano: Ampliar el metaverso quirúrgico mediante la colaboración, la regulación y la capacitación del paciente]","2025","Cirugia Espanola","103","6","800097","","","","0","10.1016/j.ciresp.2025.800097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007641332&doi=10.1016%2fj.ciresp.2025.800097&partnerID=40&md5=12f8fe0c18c985d592fd875083676798","[No abstract available]","","Asociacion Espanola de Cirujanos","English","Letter","Final","","Scopus","2-s2.0-105007641332"
