Title,Abstract,Keywords
"A virtual laboratory for multiagent systems: Joining efficacy, learning analytics and student satisfaction","This study introduces a distributed virtual laboratory for a multiagent programming course which has been very satisfactorily adopted by students, with a success rate of nearly 80%. It also aims at capturing the daily activity of students, providing the basis for data-driven assessment. Finally, it also allows for using process mining technologies to unveil successful and failed behaviors of students enabling the teacher for an early detection and intervention to improve their learning experience.",Learning analytics;data-driven assessment;multiagent systems
A Multiagent Tool to Simulate Hybrid Real/Virtual Embedded Agent Societies,"Decomposing a real world problem into a multiagent solution and implementing the corresponding embedded multiagent system are difficult tasks. Agent models must be degraded in respect with resource constraints (memory, CPU) and energomic constraints. These constraints introduce deviations at two levels: the embedded agent and the whole system. This paper introduces hardware/software hybrid simulation of multiagent systems where real physical and virtual simulated agents cohabit. It presents the MultiAgent Hardware Software Simulator (MASH) and a discussion about our experience in using this tool.",embedded multiagent system;simulation
Intelligent Pedagogical Agents in immersive virtual learning environments: A review,"The concept of Intelligent Pedagogical Agents (IPA) has been an important research topic for a long time. IPA is supported by multi-agent systems research derived from AI. IPA provides personalized instruction, increase learner motivation, and act pedagogically on behalf or with the learner. On the other hand, virtual environments add value to the education process by giving new educational possibilities and computational-richness support. Combining both IPA and Virtual environments can make a promising approach for effective computer-aided learning. This paper provides a review on IPA and related topics focusing on a general overview of the topic, gives a detailed review in the application domain of virtual learning environments, and outlines a proposal for a flexible conceptual approach for the flexible application in different learning settings.",
The Cooperation Behaviors of Multiple Intelligent Virtual Agents Based on the Situation Calculus,"The behaviors of intelligent virtual agents displayed in virtual reality should be derived from theirs ""intelligence"". So we extend ConGolog to EConGolog by formalizing the belief and intention of agents under the framework of Situation Calculus and adding communication actions in the earlier ConGolog. Meanwhile, we propose a novel cooperation model of requirement/service and corresponding cooperation Semantics for multi-agent system based on EConGolog. We give a case of the multi-agent system to achieve the cooperation based on reason about action and performance of action among agents in the dynamic and incompletely known environment. In addition, we develop an animation description language ECGADL based on EConGolog. It can implement the animation of various complex behaviors of the agents more conveniently and flexibly.",
In The Truman Show: Generating Dynamic Scenarios in a Driving Simulator,"All the devices, animals, and people make their decisions based on what you're doing, but you don't know it or even notice it. Your world is that of Truman Burbank, from the 1998 movie The Truman Show. With this idea in mind, we've taken the movie metaphor to implement a prototype simulation system where the user steps into Truman's shoes. The set of our ""movie"" is a driving simulator, and the user is learning to drive a car. During the driving lessons, users drive in a virtual world that lets them experience all kinds of traffic scenarios. The system generates the scenarios with the student as the focal point, and the other traffic entities respond to the student's behavior, without the student noticing. To control the traffic scenarios and make them more effective, our prototype employs an agent-based framework. In this framework, each entity in the simulator is an actor agent playing a role. The prototype also includes a hierarchy of directors that directs the main action and the behind-the-scenes activity. The advantage of the movie metaphor is that it helps separate scenario description from scenario playing. The agents can read their required information from a script and perform their actions based on that information. Using this framework lets us build software that's extensible, maintainable, and easy to understand",multiagent systems;artificial intelligence;driving simulation
Interactions Between Agents As Shared Resources in Multi-Agents Systems,"In this paper we defend the advantages of a representation of agent behaviors, based on the concept of interaction. Although the behavior of an agent is usually included in its structure, we dissociate here the concept of agent from that of interaction, each one being associated with a specific ontology. This approach is especially valuable for increasing the reutilisability of the interactions, which are very often generic even in contexts where the agents are not. In a first part, we describe and compare our approach to the classic one. Then a list of properties is given to show the benefit to consider an interaction, not only as a communication means, but also as an entity shared by all agents and not reserved to some of them. An illustration of our approach is given in a road traffic application using VRML.",
Smooth migration from the Virtual design to the real manufacturing control,"The virtual manufacturing concept is based on the use of computational resources during the design of products and manufacturing systems, reducing the ramp-up time to market and the costs for the system's design, operation and reconfiguration. Combined with emergent paradigms for manufacturing control, such as multi-agent systems and service-orientation principles, and using a formal language to describe the system behavior, e.g. Petri nets, a truly and complete virtual production environment is achieved. This paper discusses this powerful approach to the virtual design and production environment driven by formal models, allowing users to design and deploy collaborative and reconfigurable automation applications in a faster and cost-effective fashion. A special attention is devoted to the process of migration from the virtual environment to the real world, aiming to reduce the transition time and increasing the efficiency of the process.",
Modeling Process of a Third Dimension Universe for Transportation Simulation: Application to Railway System,"In past years, 3D models of virtual worlds have been used in several applications such as urban planning, simulation and design. In the railway field, that we chose as a field of application to illustrate our proposals in this article, simulation makes sense because of the complexity involved and the risk for personnel during upstream phases of validation. To be able to simulation with enough precision, the model of the virtual universe is a key point. Especially For train component simulation, an accurate and detailed model of the train component is mandatory. For training the drivers within a serious game, a high visual quality is required. Obtaining a single model supporting these two constraints at the same time at the lowest cost is still an open issue and involved many actors. Our contribution is a methodology and a process for creating a virtual universe model, based on automatic model generation, in order to allow the creation of large-scale universes while guaranteeing a level of details appropriate to the need, a model of constant quality and including semantic data necessary for simulation, while reducing the modeling costs and the modeling duration. The proposed process is applied to train simulation.",
Behavioural realism of modelling multi-agent communication protocols in virtual environment,"This paper presents an advanced implementation of a virtual environment to develop and test communication protocols for multi-agent systems. This because virtual environments provide 3d simulation tools that allow for more realistic simulations. Embedding human capability into the control system software, the work considers the application of a multiple robots communication system. Current implementations of full-scale virtual environments to evaluate robotic applications is used for the purpose of simulating and testing the hardware whilst producing single-robot applications. The work presented in this paper exemplifies the use of full-scale virtual environments to test the communication between multiple robots. This implementation of virtual environments is shown to be efficient as it allows users to: a) greater understand the robots' behaviours under different communication rules, b) easier compare different communication techniques, centralised/decentralised and hybrid communications. Employing the virtual environment as a testing tool increases the efficiency of the evaluation process. The visual assessment outputs using a semiimmersive full-scale environment also has been advantageous in directing numerical analysis.",
Robot media communication: an interactive real-world guide agent,"Describes a guide system and the software architecture for an autonomous, interactive robot based on a multi-agent system. A robot navigation system has been developed allowing the robot to guide people through halls in various types of exhibitions. Our approach uses an infrared location system in the hallway ceilings, making the environment part of a sensor-distributed robot system. The real-world guide agent is composed of a guide agent on a hand-held mobile computer and a robot agent on an autonomous mobile robot. The guide agent plays the role of ""robot media"" in order to integrate information in the information space of the mobile computer and the physical space of the exhibits in order to guide visitors through the physical space. This research aims to develop a cooperative adaptive system using two-way communication among spaces, media and human beings to construct transparent knowledge boundaries between the real space and the virtual space. The virtual space is generated from computer data using shared space technology and it creates a distributed intelligence in order to manage the communication and control the guide in a laboratory. We have experimented with and verified this software architecture using a prototype autonomous mobile robot equipped with a compass.",
Collaborative shopping based on multi-agent in virtual environments,"Existing e-commerce applications on the Internet provide the users a relatively simple, browser-based interface to access available products. Customers are not provided with the realistic shopping experience as they would in an actual store or mall. So This work presents a collaborative shopping system based on multiagent that can provide the customers with simulation of the shopping experience in a real world. With the creation and application of the avatar in the 3D virtual shopping mall, the customers can change their role from ""hollow-man"" to human. By the combination of the sociality with virtual environment, the system can not only imitates realistic communication among special customers who are favorable to the same products but also realize the communication between multiple avatars.",
Analysis of the Virtual Enterprise Partner Selection Based on Multi-agent System,"Todaypsilas world, virtual enterprise is regarded as the most competitive management model of enterprises that face the resource of the globe. How to select the best partner enterprise is a key section of the whole process of virtual enterprise creation. This paper proposed an instructor of remote manufacturing system supporting dynamic alliance for virtual enterprises with the multi-agent technology to solve the problem of partner enterprise selections.",Virtual Enterprise (VE);Partner Selection;Multi-Agent System;Analytic Hierarchy Process (AHP)
Research on multi-agent system based trust model of partner selection of virtual enterprise,"Virtual enterprise is the outcome of fierce competition in the world market. The selection of partners is one of the key factors for the success of virtual enterprises. Multi-agent system is an incompact agent federation composed of many agents, with its characteristics identical to virtual enterprises. It is, therefore, reasonable and effective to apply to the selection of enterprises' partner. The issue of trust is a hot topic in multi-agent system. The present trust model cannot well solve the problem of identifying the initial trust value of applicant agents. Moreover, there is room for improvement as to the calculation of agent trust value. This study puts forward a new trust management model based on multi-agent system. In the model, a fuzzy algorithm is used to calculate the initial value of the agent instead of a static definition. In addition, an independent validation module is used to test information reliability. Therefore, the problems of identifying initial trust value can be solved. Through system simulation, it is noted that based on the trust management model the cooperation rate has been enhanced and individual agent's income has risen by a big margin.",Multi-Agent System;Virtual Enterprise;Partner Selection;Trust Model
Model and Optimization of Collaborative Logistics System In Agent-based Agile Virtual Enterprises,"On the basis of analyzing the framework of collaborative logistics system in agile virtual enterprise (AVE), according to the craft work chain of product in agile virtual enterprise (AVE), the three-dimension evolution model is developed. Combining dynamic programming with MATLAB on machining tasks and logistics resources on the craft work chain of product are discussed. The purpose is to make reasonable use of world resources and to quickly collocate all kinds of resources, and to response to the need of customers in the way of efficient collaboration by means of virtual network according to the product task, and to improve the agility.",Agile virtual enterprise;multi-agent system;collaborative logistics;modeling
Simulating a Multi-Agent UAV System Coordinated by State Machines Using Godot,"Unmanned aerial vehicles have advanced quickly and are now a dominant force in several domains, including military, security, and even logistics. 3D simulations with virtual environments are cost effective tools for assessing feasibility and costs of developing new systems or upgrading current systems. This is especially true for multiagent or swarm systems that require many agents working in concert. The total costs can be much higher when only physical prototypes are used for testing and analysis. There are existing 3D libraries for aiding with UAV simulations, but they’re too specialized; it is difficult to create highly customized virtual environments with these packages. A simulation development framework needs to be capable and stable for accurate simulations yet generalized enough that any types of simulations can be developed without exhausting efforts. This paper explores the feasibility and ease of using Godot, an open-source game engine, to develop a simulation that can assess the function of a multiagent UAV system. It is found that the Godot engine is a powerful tool that is both accurate and generalized enough to develop highly customizable UAV simulation. This allows verification and testing of UAV designs and control algorithms in highly customizable and flexible virtual environments, using a free open-sourced tool.",component; 3D Virtual Environments;Multiagent Systems;Unmanned Aerial Vehicles
UTSAF: a multi-agent-based framework for supporting military-based distributed interactive simulations in 3D virtual environments,"A military-based distributed interactive simulation (DIS) such as ModSAF has been used for many years. Several problems of the DIS-based simulation to support a large and heterogeneous virtual simulation environments have been discovered. To solve these problems, we propose an architectural multi-agent-based framework to support a large military-based simulation with 3D visualization using inexpensive game simulators. several software agents are used to support interoperability between DIS-based military simulation nodes and unreal tournament game simulators. A software agent is used to reduce DIS traffic to efficiently utilize network bandwidth. It also performs protocol conversion between DIS protocol and a game engine protocol. Additionally, using a multi-agent system, our work is easily expandable to support several network environments and also to support agent-based intelligent operations. Our main contribution is twofold. We use multi-agent system which is scalable to support our framework. In addition, our framework builds a simulation bridge that enables affordable high-quality 3D viewer node using affordable game simulations for military simulations.",
Supporting collaborative virtual meetings using multi-agent systems,"In an increasingly sophisticated global business environment there is often a need to be able to bring together professionals from all types of organizations from all over the world. Those professionals operate under severe time constraints and a conventional face-to-face meeting is both impractical and expensive. Virtual meetings have proved to be a convenient alternative, offering a flexible meeting domain more suitable for the busy executive. This paper explores the concept of using a peer-to-peer network and multi-agent systems to facilitate virtual meetings, managing the artifacts required for the session. By the use of a laptop, PDA or similar electronic device the meeting participant can join the meeting and collaborate in the discussion.",Virtual Meetings;Peer-to-Peer;Multi-agent systems;Collaboration
Designing and Deploying Real World Multiagent Systems Using Hardware in the Simulation Loop: An Approach and a Tool,"Designing a real world complex system requires to use decentralized artificial intelligence. Such a system involves self-organization techniques, advanced interaction models, real-time architectures... To simplify the design step, it can be necessary to reproduce the behavior of the whole designed system in a virtual environment before to deploy the designed application on the real world devices. In such a deployment, the used models must be degraded in respect with device constraints (memory, CPU) and other physical constraints (thermal dissipation, energy consumption...). This paper proposes a new approach and a tool to support such a deployment.",
Supporting Adaptive Virtual Environments with Intelligent Agents,"Adaptive Virtual Environments have been developed aiming at generating 3D environments adapted to user's necessities and interests. Navigation aid techniques and content adaptation improve user interaction in such environments. This article presents a system for supporting real time adaptive virtual environments. A multiagents architecture is used to manage contents updating in the virtual world according to user profile evolution. Its agents utilize the User Model, the Environment Model and a 3D objects database for decision-making on the necessary updating. A manager agent is responsible to accompany the user's actions through the user interface to collect information that may be used to update his/her profile. This agent also controls the communication between agents.",
A fuzzy evolutionary approach for collaborative clustering in multi-agent systems with application to emergent virtual organizations,"An approach to dynamic collaborative clustering in multi-agent systems is proposed. The approach determines the optimal configuration of an emergent virtual organization by clustering the best partners for each activity contributing towards the organizations' goal. The approach consists of two parts: 1) in a dynamic, ever expanding agent domain it performs an open evolutionary search for the best possible partners to be added to the organization; and 2) it uses fuzzy entropy minimization to continuously maintain the optimal configuration of the partnering agents in terms of their interactions to best fulfill the global goal of the organization.",
An infrastructure for providing communication among users of virtual cultural spaces,"Nowadays there exist several cultural spaces in the Internet and some of the real museums have been using it as an extension of their walls. A virtual cultural space can present to visitors any kind of artistic manifestation represented in a digital format. We propose a multiagent architecture used to enhance communication in cultural environments. Our proposal is based on a 3D environment where users are represented by avatars. Each avatar has a personal agent that captures all the relevant user actions. We have also others types of agent which are responsible for providing communication services. Also, we present a study case showing how these concepts were implanted in the ICSpace (Internet cultural space) environment.",
Learning with a context-aware multiagent system,"New technological developments have made it possible to interact with computer systems and applications anywhere and anytime. It is vital that these applications are able to adapt to the user, as a person, and to its current situation, whatever that is. Therefore, the premises for evolution towards a learning society and a knowledge economy are present. Hence, there is a stringent demand for new learner-centered frameworks that allow active participation of learners in knowledge creation within communities, organizations, territories and society, at large. This paper presents the multi-agent architecture of our context-aware system and the learning scenarios within multi-dimensional learning spaces that the system provides support for. This architecture is the outcome of our endeavor to develop ePH, a system for sharing public interest information and knowledge, which is accessible through always-on, context-aware services.",context-aware systems;multiagent systems;case-based reasoning;multi-dimensional learning spaces
