"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Collaborative prototyping in distributed virtual reality using an agent communication language","A. Nedelec; P. Reignier; V. Rodin","Ecole Nationale dIngénieurs de Brest, Brest, France; Ecole Nationale dIngénieurs de Brest, Brest, France; Ecole Nationale dIngénieurs de Brest, Brest, France","Smc 2000 conference proceedings. 2000 ieee international conference on systems, man and cybernetics. 'cybernetics evolving to systems, humans, organizations, and their complex interactions' (cat. no.0","6 Aug 2002","2000","2","","1007","1012 vol.2","We describe our work on multiagent systems in a distributed virtual reality environment. Our main goal in the LI2 laboratory is to make interactive and co-operative prototyping for well defined systems. Users and software agents evolving in our virtual worlds can interact, communicate and modify their behavior. The article focuses on the way our agents communicate in a ""natural language"" by exchanging information and knowledge. For this purpose we have developed a communication language based on ""speech acts theory"" and on agent communication languages (ACL). The Knowledge Query Manipulation Language (KQML) is the ACL we have chosen to develop high level communication among ""intelligent agents"". To validate our developments and thus the KQML specifications, we have tested them in a contract net application. Contract net applications use communication mechanisms based on offers, bids, contracts and so on, which can be designed by KQML message exchanges.","1062-922X","0-7803-6583-6","10.1109/ICSMC.2000.885982","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=885982","","Collaboration;Virtual prototyping;Virtual reality;Contracts;Software prototyping;Collaborative work;Multiagent systems;Laboratories;Prototypes;Software agents","","1","","7","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Agent mediation and management of virtual communities: a redefinition of the traditional community concept","G. M. P. O'Hare; C. Sas; C. A. Byrne","Department of Computer Science, University College Dublin, Belfield, Ireland; Department of Computer Science, University College Dublin, Belfield, Ireland; Department of Computer Science, Carlow Institute of Technology, Carlow, Ireland","2001 IEEE International Conference on Systems, Man and Cybernetics. e-Systems and e-Man for Cybernetics in Cyberspace (Cat.No.01CH37236)","6 Aug 2002","2001","5","","3361","3366 vol.5","The paper explores the evolution of the concept of community in the light of computer mediated immersive virtual environments. The traditional concept of community has become strained in its attempts to capture the evolving virtual community. We believe the concept of the virtual community is of paramount importance and examine the extent to which this is being redefined to cater for it. We examine the management and mediation of such an environment and specifically the social process associated with the cohabited users. We advocate the use of multi-agent systems in delivering this functionality.","1062-922X","0-7803-7087-2","10.1109/ICSMC.2001.972038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=972038","","Mediation;Virtual environment;Computer science;Multiagent systems;Collaboration;Collaborative work;Capacitive sensors;Synthetic aperture sonar;Educational institutions;User centered design","","4","","39","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Multirobot cooperation on virtual environment using Volunteer Based Cooperation Protocol","Kosuke Sekiyama; Akira Fuwa; Takayuki Shirouzu; Toshio Fukuda","University of Nagoya, Japan; University of Fukui, Japan; Yanmmar Company Limited, Japan; University of Nagoya, Japan",2008 World Automation Congress,"9 Dec 2008","2008","","","1","6","We develop an experimental platform for heterogeneous multirobot cooperation which has both advantages of two evaluations means for multirobot cooperation, experiment with real robots and simulation. In this system, the real robots interact with the virtual environment and efficient evaluation of the multirobot cooperation in various kinds of work fields is possible. Volunteer Based Cooperation Protocol is proposed to reduce communication cost required in the multirobot cooperation.","2154-4824","978-1-889335-38-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4698960","multi-agent systems;multirobot cooperation;virtual environment system","Virtual environment;Protocols;Robot kinematics;Robot sensing systems;Costs;Infrared sensors;Cameras;Character generation;Multiagent systems;Rail transportation","","","","5","","9 Dec 2008","","","IEEE","IEEE Conferences"
"Using a Declarative Language to Describe the Interactions in Virtual Scenes","H. I. Piza; F. Zuniga; F. F. Ramos","Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico; Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico; Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico",11th International Conference on Parallel and Distributed Systems (ICPADS'05),"21 Nov 2005","2005","2","","224","229","A generic platform useful to design and run virtual scenes as a result of a human-like description is introduced. The present article describes the operation of one of the main components of such platform: the virtual-environment (VE) editor. The main goal of the VE editor is to allow a human description of a virtual scene and translate it, if errors-free, into a set of low-level commands. The modeler is provided a declarative language useful to: a) arrange the virtual entities using geometric constraints instead of geometrical data, b) assign personalities to virtual humans, and c) specify goals to be fulfilled by virtual humans. A scene takes place in a specific world. For every different world to model a set of rules must be defined. The VE editor allows the specification of some features related to a particular virtual world, including the following: actions and skills that can be performed, virtual entities acceptable, pre-and post- conditions for interactions, effect of natural laws (gravity, collisions), and a set of rules, which reject or allow the assignment of goals according to the state of virtual humans","1521-9097","0-7695-2281-5","10.1109/ICPADS.2005.289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524292","","Layout;Humans;Multiagent systems;Solid modeling;Gravity;Uncertainty;Virtual reality;Real time systems;Computer graphics;Distributed control","","1","3","9","IEEE","21 Nov 2005","","","IEEE","IEEE Conferences"
"Virtual sensors for dynamic virtual environments","H. I. Piza; F. F. Ramos; F. Zuniga","Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico; Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico; Multi-Agent Systems Development Group, Guadalajara, Jalisco, Mexico","1st IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing, 2005.","16 Jan 2006","2005","","","177","180","This paper proposes a sensor-based mechanism that allows virtual creatures to perceive the environment that surrounds them. We are keen on modeling the behavior of real-life creatures via VR-techniques. Every living creature is endowed by a number of senses, by means of which, the creature is aware of the world around. We picture the environment as a multi-agent system, where every agent has, primarily, a knowledge base, a sensors and effectors to allow interaction. The effectors may launch actions (graphical changes), noises, messages or aromas. The sensors model, particularly, the sight, hearing and smell senses of a living creature. Every sensor has specific perception capabilities and gathers partial or full information about the objects around. Through the sensors, a virtual creature is aware of the environment and capable to increase the knowledge base. The local state of a creature can be amplified by allowing cooperation between agents","","0-7803-9322-8","10.1109/CAMAP.2005.1574213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1574213","","Humans;Layout;Virtual environment;Animation;Sensor systems;Multiagent systems;Working environment noise;Auditory system;Computer graphics;Production","","8","","8","IEEE","16 Jan 2006","","","IEEE","IEEE Conferences"
"A virtual laboratory for multiagent systems: Joining efficacy, learning analytics and student satisfaction","L. Castillo","Dpt. Computer Science and Artificial Intelligence, University of Granada, Granada, SPAIN",2016 International Symposium on Computers in Education (SIIE),"24 Nov 2016","2016","","","1","6","This study introduces a distributed virtual laboratory for a multiagent programming course which has been very satisfactorily adopted by students, with a success rate of nearly 80%. It also aims at capturing the daily activity of students, providing the basis for data-driven assessment. Finally, it also allows for using process mining technologies to unveil successful and failed behaviors of students enabling the teacher for an early detection and intervention to improve their learning experience.","","978-1-5090-4596-9","10.1109/SIIE.2016.7751820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751820","Learning analytics;data-driven assessment;multiagent systems","Servers;Multi-agent systems;Sensors;Programming;Control systems;Batteries;Protocols","","6","","17","IEEE","24 Nov 2016","","","IEEE","IEEE Conferences"
"A Multiagent Tool to Simulate Hybrid Real/Virtual Embedded Agent Societies","J. -P. Jamont; M. Occello","LCIS/INPG-UPMF, University of Grenoble, Valence, France; LCIS/INPG-UPMF, University of Grenoble, Valence, France",2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology,"9 Oct 2009","2009","2","","501","504","Decomposing a real world problem into a multiagent solution and implementing the corresponding embedded multiagent system are difficult tasks. Agent models must be degraded in respect with resource constraints (memory, CPU) and energomic constraints. These constraints introduce deviations at two levels: the embedded agent and the whole system. This paper introduces hardware/software hybrid simulation of multiagent systems where real physical and virtual simulated agents cohabit. It presents the MultiAgent Hardware Software Simulator (MASH) and a discussion about our experience in using this tool.","","978-0-7695-3801-3","10.1109/WI-IAT.2009.202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5285128","embedded multiagent system;simulation","Multiagent systems;Intelligent agent;Hardware;Context modeling;Emulation;Degradation;Software tools;Multi-stage noise shaping;Conferences;Societies","","13","","6","IEEE","9 Oct 2009","","","IEEE","IEEE Conferences"
"Intelligent Pedagogical Agents in immersive virtual learning environments: A review","M. Soliman; C. Guetl","Qatar University, Qatar; Curtin University of Technology, Perth, WA, Australia",The 33rd International Convention MIPRO,"29 Jul 2010","2010","","","827","832","The concept of Intelligent Pedagogical Agents (IPA) has been an important research topic for a long time. IPA is supported by multi-agent systems research derived from AI. IPA provides personalized instruction, increase learner motivation, and act pedagogically on behalf or with the learner. On the other hand, virtual environments add value to the education process by giving new educational possibilities and computational-richness support. Combining both IPA and Virtual environments can make a promising approach for effective computer-aided learning. This paper provides a review on IPA and related topics focusing on a general overview of the topic, gives a detailed review in the application domain of virtual learning environments, and outlines a proposal for a flexible conceptual approach for the flexible application in different learning settings.","","978-9-5323-3050-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5533534","","Intelligent agent;Virtual environment;Computer aided instruction;Humans;Visualization;Avatars;Application software;Second Life;Collaboration;Multiagent systems","","4","","27","","29 Jul 2010","","","IEEE","IEEE Conferences"
"The Cooperation Behaviors of Multiple Intelligent Virtual Agents Based on the Situation Calculus","Y. Liu; G. Wang; L. Dong; Y. Sun","School of Computer Science and Telecommunication Engineering, Jiangsu University, Zhenjiang, China; School of Computer Science and Telecommunication Engineering, Jiangsu University, Zhenjiang, China; School of Computer Science and Telecommunication Engineering, Jiangsu University, Zhenjiang, China; School of Computer Science and Technology, Nanjing University of Science and Technology of PLA, Nanjing, China",16th International Conference on Artificial Reality and Telexistence--Workshops (ICAT'06),"12 Feb 2007","2006","","","83","88","The behaviors of intelligent virtual agents displayed in virtual reality should be derived from theirs ""intelligence"". So we extend ConGolog to EConGolog by formalizing the belief and intention of agents under the framework of Situation Calculus and adding communication actions in the earlier ConGolog. Meanwhile, we propose a novel cooperation model of requirement/service and corresponding cooperation Semantics for multi-agent system based on EConGolog. We give a case of the multi-agent system to achieve the cooperation based on reason about action and performance of action among agents in the dynamic and incompletely known environment. In addition, we develop an animation description language ECGADL based on EConGolog. It can implement the animation of various complex behaviors of the agents more conveniently and flexibly.","","0-7695-2754-X","10.1109/ICAT.2006.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4089216","","Intelligent agent;Calculus;Multiagent systems;Animation;Computer science;Virtual reality;Concurrent computing;Sun;Humans;Legged locomotion","","","","10","IEEE","12 Feb 2007","","","IEEE","IEEE Conferences"
"In The Truman Show: Generating Dynamic Scenarios in a Driving Simulator","I. Wassink; B. van Dijk; J. Zwiers; A. Nijholt; J. Kuipers; A. Brugman","University of Twente, Netherlands; University of Twente, Netherlands; University of Twente, Netherlands; University of Twente, Netherlands; Green Dino Virtual Realities, Netherlands; Green Dino Virtual Realities, Netherlands",IEEE Intelligent Systems,"2 Oct 2006","2006","21","5","28","32","All the devices, animals, and people make their decisions based on what you're doing, but you don't know it or even notice it. Your world is that of Truman Burbank, from the 1998 movie The Truman Show. With this idea in mind, we've taken the movie metaphor to implement a prototype simulation system where the user steps into Truman's shoes. The set of our ""movie"" is a driving simulator, and the user is learning to drive a car. During the driving lessons, users drive in a virtual world that lets them experience all kinds of traffic scenarios. The system generates the scenarios with the student as the focal point, and the other traffic entities respond to the student's behavior, without the student noticing. To control the traffic scenarios and make them more effective, our prototype employs an agent-based framework. In this framework, each entity in the simulator is an actor agent playing a role. The prototype also includes a hierarchy of directors that directs the main action and the behind-the-scenes activity. The advantage of the movie metaphor is that it helps separate scenario description from scenario playing. The agents can read their required information from a script and perform their actions based on that information. Using this framework lets us build software that's extensible, maintainable, and easy to understand","1941-1294","","10.1109/MIS.2006.97","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705425","multiagent systems;artificial intelligence;driving simulation","Traffic control;Motion pictures;Virtual prototyping;Prototypes;Software maintenance;Intelligent sensors;Virtual reality;Animals;Footwear;Software prototyping","","8","","7","IEEE","2 Oct 2006","","","IEEE","IEEE Magazines"
"Interactions Between Agents As Shared Resources in Multi-Agents Systems","A. Sayouti; F. Qrichi Aniba; H. Madromi","Equipe Architecture des Systèmes, ENSEM, Casablanca, Morocco; Equipe Architecture des Systèmes, ENSEM, Casablanca, Morocco; Equipe Architecture des Systèmes, ENSEM, Casablanca, Morocco","2008 New Technologies, Mobility and Security","25 Nov 2008","2008","","","1","4","In this paper we defend the advantages of a representation of agent behaviors, based on the concept of interaction. Although the behavior of an agent is usually included in its structure, we dissociate here the concept of agent from that of interaction, each one being associated with a specific ontology. This approach is especially valuable for increasing the reutilisability of the interactions, which are very often generic even in contexts where the agents are not. In a first part, we describe and compare our approach to the classic one. Then a list of properties is given to show the benefit to consider an interaction, not only as a communication means, but also as an entity shared by all agents and not reserved to some of them. An illustration of our approach is given in a road traffic application using VRML.","2157-4960","978-1-42443547-0","10.1109/NTMS.2008.ECP.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4689106","","Multiagent systems;World Wide Web;Ontologies;Roads;Context;Virtual reality;Resource management;Application software;Traffic control;Web sites","","","","12","","25 Nov 2008","","","IEEE","IEEE Conferences"
"Smooth migration from the Virtual design to the real manufacturing control","P. Leitao; J. M. Mendes; A. W. Colombo","Polytechnic Institute of Bragança, Campus Sta Apolónia, Bragança, Portugal; Faculty of Engineering, University of Porto, Porto, Portugal; Schneider Electric Automation GmbH, Seligenstadt, Germany",2009 7th IEEE International Conference on Industrial Informatics,"7 Aug 2009","2009","","","539","544","The virtual manufacturing concept is based on the use of computational resources during the design of products and manufacturing systems, reducing the ramp-up time to market and the costs for the system's design, operation and reconfiguration. Combined with emergent paradigms for manufacturing control, such as multi-agent systems and service-orientation principles, and using a formal language to describe the system behavior, e.g. Petri nets, a truly and complete virtual production environment is achieved. This paper discusses this powerful approach to the virtual design and production environment driven by formal models, allowing users to design and deploy collaborative and reconfigurable automation applications in a faster and cost-effective fashion. A special attention is devoted to the process of migration from the virtual environment to the real world, aiming to reduce the transition time and increasing the efficiency of the process.","2378-363X","978-1-4244-3759-7","10.1109/INDIN.2009.5195861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5195861","","Production;Virtual manufacturing;Computer aided manufacturing;Product design;Manufacturing systems;Time to market;Costs;Control systems;Multiagent systems;Formal languages","","3","","21","IEEE","7 Aug 2009","","","IEEE","IEEE Conferences"
